Date,CHRIS/ICE_BPB1,CHRIS/MX_SXH1,CHRIS/MGEX_IW1,CHRIS/ICE_P1,CHRIS/ICE_IW1,CHRIS/ICE_DW1,CHRIS/CME_RB31,CHRIS/MGEX_IC1,CHRIS/MGEX_IP1,CHRIS/MGEX_IS1,CHRIS/MX_CGZ1,CHRIS/CME_LB1,CHRIS/CME_IBV1,CHRIS/ICE_ZJ1,CHRIS/CME_NG31,CHRIS/ICE_AR1,CHRIS/CME_EH1,CHRIS/ICE_KRU1,CHRIS/ICE_SS1,CHRIS/MGEX_IH1,CHRIS/MX_SXM1,CHRIS/CME_NG41,CHRIS/CME_CI1,CHRIS/MX_SXA1,CHRIS/MX_LGB1,CHRIS/MX_SXB1,CHRIS/MX_SCF1,CHRIS/CME_RB21,CHRIS/MX_SXY1,CHRIS/ICE_Y1,CHRIS/ICE_MP1,CHRIS/ICE_NT1,CHRIS/CME_HG11,CHRIS/ICE_ZR1,CHRIS/ICE_SF1,CHRIS/CME_RR1,CHRIS/CME_DA1,CHRIS/CME_ED31,CHRIS/ICE_WA1
2004-12-02,,,,0.0,,,,,,,,439.0,,,,29.0,,,237.0,,,,,,,,,,,0.0,27.0,,1.0,329.0,,402.0,,0.0,
2004-12-03,,,,0.0,,,,,,,,351.0,,,,50.0,,,73.0,,,,,,,,,,,0.0,44.0,,13.0,458.0,,756.0,,0.0,
2004-12-06,,,,0.0,,,,,,,,398.0,,,,27.0,,,41.0,,,,,,,,,,,0.0,8.0,,1.0,669.0,,291.0,,0.0,
2004-12-07,,,,0.0,,,,,,,,733.0,,,1.0,0.0,,,1691.0,,,,,,,,,,,0.0,1.0,,9.0,4232.0,,294.0,,0.0,
2004-12-08,,,,0.0,,,,,,,,791.0,,,,143.0,,,53.0,,,,,,,,,,,0.0,13.0,,10.0,2081.0,,133.0,,0.0,
2004-12-09,,,,0.0,,,,,,,,683.0,,,,66.0,,,312.0,,,,,,,,,,,0.0,1.0,,4.0,98.0,,110.0,,0.0,
2004-12-10,,,,0.0,,,,,,,,361.0,,,,11.0,,,0.0,,,,,,,,,,,0.0,41.0,,0.0,261.0,,177.0,,0.0,
2004-12-13,,,,0.0,,,,,,,,758.0,,,,0.0,,,8.0,,,,,,,,,,,0.0,3.0,,1.0,136.0,,314.0,,0.0,
2004-12-14,,,,0.0,,,,,,,,748.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,330.0,,0.0,
2004-12-15,,,,0.0,,,,,,,,522.0,,,,,,,,,,,,,,,,,,0.0,58.0,,0.0,,,252.0,,0.0,
2004-12-16,,,0.0,0.0,,,,0.0,0.0,,,952.0,,,,2.0,,,38.0,,,,,,,,,,,0.0,48.0,,0.0,0.0,,254.0,,0.0,
2004-12-17,,,0.0,0.0,,,,0.0,0.0,,,374.0,,,,20.0,,,80.0,,,,,,,,,,,0.0,53.0,,0.0,377.0,,565.0,,0.0,
2004-12-20,,,0.0,0.0,,,,0.0,0.0,,,673.0,,,,23.0,,,35.0,,,,,,,,,,,10.0,42.0,,2.0,61.0,,755.0,,0.0,
2004-12-21,,,0.0,0.0,,,,0.0,0.0,,,765.0,,,,0.0,,,193.0,,,,,,,,,,,0.0,19.0,,2.0,18.0,,821.0,,0.0,
2004-12-22,,,0.0,0.0,,,,0.0,0.0,,,966.0,,,,9.0,,,28.0,,,,,,,,,,,10.0,27.0,,0.0,53.0,,357.0,,0.0,
2004-12-23,,,0.0,0.0,,,,0.0,0.0,,,542.0,,,,82.0,,,28.0,,,,,,,,,,,0.0,21.0,,0.0,570.0,,488.0,,0.0,
2004-12-27,,,0.0,,,,,0.0,0.0,,,469.0,,,,33.0,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,154.0,,0.0,
2004-12-28,,,0.0,,,,,0.0,0.0,,,574.0,,,,14.0,,,26.0,,,,,,,,,,,,0.0,,0.0,0.0,,239.0,,0.0,
2004-12-29,,,0.0,0.0,,,,0.0,0.0,,,513.0,,,,3.0,,,105.0,,,,,,,,,,,0.0,0.0,,0.0,23.0,,475.0,,0.0,
2004-12-30,,,0.0,0.0,,,,0.0,0.0,,,168.0,,,1.0,2.0,,,49.0,,,,,,,,,,,0.0,21.0,,10.0,79.0,,153.0,,0.0,
2005-01-03,,,0.0,,,,,0.0,0.0,0.0,,573.0,,,0.0,182.0,,,81.0,0.0,,,,,,,,,,,10.0,,0.0,324.0,,200.0,,0.0,
